EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
11.847,19.459,14.802,15.548,11.318,7.300,11.793,9.828,-0.140,0.990,-0.012,1.068,1.038,-0.031,93.333,109340.000,1.000
10.654,19.125,13.813,14.032,10.861,7.469,11.596,9.015,-0.141,0.989,-0.011,1.099,1.129,-0.031,93.333,109341.000,1.000
9.800,18.915,12.511,12.088,8.934,6.390,11.005,7.231,-0.140,0.991,-0.008,1.099,1.312,-0.122,93.333,109342.000,1.000
9.517,18.848,11.604,10.972,7.373,5.489,10.276,6.389,-0.141,0.989,-0.009,1.129,1.404,-0.214,93.333,109343.000,1.000
9.506,18.717,11.135,10.982,6.888,5.495,9.251,6.844,-0.139,0.989,-0.011,1.129,1.434,-0.275,93.333,109344.000,1.000
9.424,18.315,10.337,11.095,5.823,4.979,7.578,6.441,-0.141,0.987,-0.010,1.099,1.526,-0.305,93.333,109345.000,1.000
9.140,17.696,8.983,10.647,3.489,3.170,5.617,4.222,-0.142,0.988,-0.009,1.038,1.556,-0.336,93.333,109346.000,1.000
8.534,16.984,7.708,10.089,1.653,1.627,4.185,2.070,-0.144,0.989,-0.010,0.977,1.678,-0.427,93.333,109347.000,1.000
7.342,16.016,6.631,9.598,1.243,1.413,3.344,1.280,-0.144,0.987,-0.011,1.068,1.678,-0.427,93.333,109348.000,1.000
5.397,14.553,4.917,8.346,0.471,1.038,2.301,0.394,-0.144,0.987,-0.010,1.068,1.740,-0.488,93.333,109349.000,1.000
2.891,12.727,2.243,5.858,-2.045,-0.884,0.529,-1.963,-0.143,0.988,-0.010,1.160,1.801,-0.519,93.333,109350.000,1.000
0.251,10.979,-0.427,2.957,-4.891,-3.159,-1.740,-4.641,-0.143,0.988,-0.011,1.160,1.862,-0.580,93.333,109351.000,1.000
-2.091,9.659,-2.109,0.631,-6.477,-4.133,-4.093,-6.162,-0.146,0.989,-0.013,1.099,1.862,-0.610,93.333,109352.000,1.000
-3.810,8.901,-2.956,-1.102,-7.755,-4.371,-6.266,-7.171,-0.149,0.989,-0.010,1.129,1.862,-0.519,93.333,109353.000,1.000
-4.846,8.724,-3.543,-2.530,-10.126,-5.166,-7.803,-8.677,-0.150,0.988,-0.010,1.190,1.892,-0.427,93.333,109354.000,1.000
-5.535,8.975,-3.889,-3.410,-12.602,-5.959,-8.177,-9.740,-0.149,0.988,-0.007,1.160,1.831,-0.458,93.333,109355.000,1.000
-6.267,9.245,-3.948,-3.628,-13.464,-5.505,-7.540,-9.188,-0.148,0.988,-0.011,1.190,1.801,-0.427,93.333,109356.000,1.000
-6.941,9.061,-4.300,-3.914,-13.226,-4.470,-6.710,-8.123,-0.148,0.987,-0.009,1.160,1.740,-0.397,93.333,109357.000,1.000
-7.048,8.208,-5.414,-4.919,-13.389,-4.521,-6.200,-8.274,-0.148,0.988,-0.010,1.221,1.709,-0.488,93.333,109358.000,1.000
-6.385,6.755,-6.752,-6.111,-13.521,-5.566,-5.852,-9.054,-0.149,0.986,-0.010,1.282,1.617,-0.427,93.333,109359.000,1.000
-5.467,4.876,-7.564,-6.687,-12.360,-6.261,-5.602,-8.833,-0.150,0.987,-0.010,1.434,1.617,-0.427,93.333,109360.000,1.000
-5.103,2.875,-8.105,-7.046,-10.857,-6.738,-5.870,-8.138,-0.150,0.986,-0.010,1.434,1.495,-0.336,93.333,109361.000,1.000
-5.738,1.282,-9.085,-8.156,-11.158,-8.249,-6.835,-8.845,-0.150,0.987,-0.009,1.526,1.373,-0.183,93.333,109362.000,1.000
-7.413,0.519,-10.404,-9.934,-13.085,-10.277,-7.968,-10.795,-0.149,0.990,-0.012,1.556,1.312,-0.183,93.333,109363.000,1.000
-10.000,0.436,-11.460,-11.485,-14.503,-10.733,-8.672,-12.040,-0.150,0.989,-0.012,1.617,1.373,-0.153,93.333,109364.000,1.000
