,EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
112,0.811,11.498,2.116,1.618,15.355,16.935,18.829,12.619,-0.095,0.798,-0.482,0.58,0.977,0.031,80.0,4209.0,1.0
113,0.167,11.385,0.608,2.283,15.985,18.043,21.787,14.726,-0.095,0.799,-0.483,0.458,0.977,0.031,80.0,4210.0,1.0
114,-0.014,11.215,-0.025,5.175,16.704,18.06,23.925,17.307,-0.097,0.799,-0.483,0.519,0.946,0.0,80.0,4211.0,1.0
115,-0.067,10.966,0.106,9.708,17.178,17.132,24.803,19.972,-0.094,0.799,-0.482,0.488,0.977,-0.031,80.0,4212.0,1.0
116,0.214,10.697,0.721,14.34,17.186,15.784,24.463,22.165,-0.094,0.798,-0.482,0.458,0.916,0.122,80.0,4213.0,1.0
117,1.167,10.326,1.515,17.169,16.585,14.554,23.237,23.189,-0.093,0.796,-0.483,0.58,0.916,0.214,80.0,4214.0,1.0
118,2.602,9.576,2.038,16.49,15.153,13.631,21.291,22.283,-0.094,0.796,-0.487,0.519,1.007,0.183,80.0,4215.0,1.0
119,4.158,8.385,1.895,11.732,12.851,12.837,18.552,19.088,-0.092,0.795,-0.483,0.58,1.068,0.183,80.0,4216.0,1.0
120,5.972,7.223,1.281,4.643,10.261,12.003,15.263,14.308,-0.093,0.796,-0.484,0.671,1.068,0.214,80.0,4217.0,1.0
121,8.4,6.731,0.984,-1.104,8.42,11.219,12.273,9.651,-0.093,0.797,-0.483,0.61,1.099,0.244,80.0,4218.0,1.0
122,11.493,7.26,1.815,-2.364,8.122,10.762,10.544,6.86,-0.093,0.798,-0.483,0.671,1.129,0.275,80.0,4219.0,1.0
123,15.16,8.833,4.13,1.243,9.471,10.892,10.477,6.717,-0.092,0.796,-0.483,0.671,1.099,0.244,80.0,4220.0,1.0
124,19.296,11.103,7.62,7.419,11.909,11.602,11.633,8.706,-0.093,0.794,-0.479,0.732,1.129,0.336,80.0,4221.0,1.0
125,23.35,13.235,11.373,13.08,14.489,12.517,12.989,11.335,-0.093,0.795,-0.478,0.824,1.129,0.275,80.0,4222.0,1.0
126,26.403,14.397,14.488,16.34,16.439,13.305,13.701,13.089,-0.093,0.796,-0.477,0.885,1.16,0.214,80.0,4223.0,1.0
127,28.154,14.686,16.916,17.505,17.801,14.22,13.9,13.606,-0.093,0.796,-0.479,0.885,1.19,0.122,80.0,4224.0,1.0
128,29.359,15.144,19.374,18.366,19.305,15.889,14.471,13.751,-0.092,0.794,-0.48,0.977,1.19,0.153,80.0,4225.0,1.0
129,30.902,16.635,22.334,20.423,21.399,18.38,15.886,14.451,-0.093,0.792,-0.479,0.977,1.16,0.092,80.0,4226.0,1.0
130,32.902,19.044,25.457,23.735,23.67,20.784,17.545,15.811,-0.089,0.792,-0.478,0.977,1.221,-0.061,80.0,4227.0,1.0
131,35.05,21.727,28.105,27.115,25.339,21.932,18.399,17.278,-0.09,0.791,-0.479,1.007,1.099,-0.092,80.0,4228.0,1.0
132,37.288,24.241,30.016,29.062,26.032,21.39,17.958,18.289,-0.089,0.791,-0.479,1.16,1.251,-0.183,80.0,4229.0,1.0
133,39.614,26.377,31.28,28.831,25.916,19.695,16.552,18.658,-0.092,0.79,-0.481,1.282,1.312,-0.214,80.0,4230.0,1.0
134,41.611,27.926,31.99,27.165,25.344,17.872,14.861,18.602,-0.091,0.791,-0.477,1.343,1.251,-0.214,80.0,4231.0,1.0
135,42.702,28.709,32.158,25.701,24.573,16.748,13.376,18.431,-0.09,0.792,-0.481,1.495,1.312,-0.275,80.0,4232.0,1.0
136,42.686,28.751,31.777,25.243,23.648,16.585,12.195,18.07,-0.091,0.792,-0.481,1.556,1.312,-0.366,80.0,4233.0,1.0
137,41.66,28.243,30.858,25.145,22.432,17.17,11.194,17.09,-0.092,0.792,-0.481,1.617,1.251,-0.458,80.0,4234.0,1.0
138,39.515,27.244,29.384,24.276,20.729,18.005,10.215,15.24,-0.093,0.792,-0.482,1.617,1.373,-0.549,80.0,4235.0,1.0
139,36.088,25.696,27.427,22.112,18.499,18.535,9.19,12.757,-0.093,0.793,-0.483,1.77,1.343,-0.58,80.0,4236.0,1.0
140,31.985,23.849,25.385,19.202,16.101,18.512,8.222,10.264,-0.092,0.795,-0.482,1.77,1.312,-0.549,80.0,4237.0,1.0
141,28.498,22.21,23.764,16.58,14.096,18.041,7.45,8.41,-0.093,0.798,-0.482,1.831,1.465,-0.671,80.0,4238.0,1.0
142,26.417,20.911,22.662,14.942,12.78,17.238,6.837,7.617,-0.096,0.8,-0.485,1.862,1.404,-0.671,80.0,4239.0,1.0
143,25.332,19.509,21.677,14.459,12.052,16.043,6.233,8.028,-0.097,0.802,-0.486,1.77,1.343,-0.671,80.0,4240.0,1.0
144,24.148,17.475,20.177,14.601,11.496,14.329,5.483,9.227,-0.095,0.802,-0.483,1.678,1.251,-0.671,80.0,4241.0,1.0
145,21.991,14.77,17.72,14.372,10.614,12.088,4.482,10.307,-0.097,0.802,-0.485,1.526,1.221,-0.732,80.0,4242.0,1.0
146,18.51,11.841,14.333,13.291,9.182,9.504,3.261,10.719,-0.096,0.801,-0.484,1.434,1.129,-0.702,80.0,4243.0,1.0
147,13.571,9.043,10.361,11.525,7.262,6.773,1.853,10.439,-0.095,0.8,-0.486,1.404,1.068,-0.641,80.0,4244.0,1.0
148,7.398,6.435,6.311,9.289,5.027,4.022,0.119,9.297,-0.094,0.801,-0.485,1.465,1.099,-0.549,80.0,4245.0,1.0
149,1.016,4.25,2.928,7.019,2.848,1.542,-2.046,7.096,-0.096,0.8,-0.482,1.434,1.068,-0.488,80.0,4246.0,1.0
150,-4.302,2.911,0.882,5.662,1.163,-0.224,-4.529,4.243,-0.097,0.8,-0.485,1.373,0.977,-0.458,80.0,4247.0,1.0
151,-8.051,2.469,0.21,5.933,0.062,-1.021,-7.1,1.563,-0.096,0.802,-0.485,1.404,0.977,-0.336,80.0,4248.0,1.0
152,-10.419,2.647,0.439,7.334,-0.666,-0.826,-9.434,-0.365,-0.096,0.8,-0.483,1.312,0.977,-0.275,80.0,4249.0,1.0
153,-11.591,3.416,1.169,8.395,-1.08,0.384,-11.074,-1.513,-0.094,0.801,-0.483,1.19,0.946,-0.214,80.0,4250.0,1.0
154,-11.819,4.974,2.243,8.156,-0.977,2.627,-11.578,-2.271,-0.096,0.8,-0.485,1.16,0.854,-0.153,80.0,4251.0,1.0
155,-11.814,7.179,3.479,6.973,-0.254,5.524,-10.871,-3.12,-0.096,0.799,-0.482,1.129,0.793,-0.092,80.0,4252.0,1.0
156,-12.404,9.317,4.505,5.5,0.766,8.027,-9.529,-4.41,-0.096,0.799,-0.482,1.038,0.824,-0.061,80.0,4253.0,1.0
157,-13.802,10.473,4.951,3.752,1.505,8.889,-8.474,-6.257,-0.096,0.798,-0.483,1.038,0.793,0.0,80.0,4254.0,1.0
158,-15.507,10.176,4.749,1.76,1.656,7.572,-8.271,-8.396,-0.099,0.799,-0.482,1.038,0.793,0.092,80.0,4255.0,1.0
159,-16.945,8.705,4.241,0.293,1.431,4.621,-8.811,-10.194,-0.095,0.798,-0.485,0.946,0.763,0.122,80.0,4256.0,1.0
160,-17.78,6.966,4.096,0.425,1.349,1.244,-9.609,-11.039,-0.096,0.798,-0.48,0.854,0.702,0.122,80.0,4257.0,1.0
161,-17.685,6.004,4.936,2.485,1.777,-1.46,-10.268,-10.863,-0.094,0.796,-0.481,0.702,0.61,0.153,80.0,4258.0,1.0
162,-16.616,6.232,6.599,5.313,2.516,-2.981,-10.654,-10.343,-0.095,0.798,-0.481,0.732,0.549,0.122,80.0,4259.0,1.0
163,-15.271,7.076,7.966,6.829,2.866,-3.352,-10.719,-10.317,-0.095,0.797,-0.482,0.641,0.549,0.0,80.0,4260.0,1.0
164,-14.507,7.55,7.931,5.827,2.228,-2.818,-10.348,-11.052,-0.093,0.796,-0.481,0.61,0.58,0.031,80.0,4261.0,1.0
165,-14.222,7.149,6.456,3.067,0.647,-1.626,-9.449,-12.336,-0.094,0.797,-0.48,0.549,0.641,0.061,80.0,4262.0,1.0
166,-13.49,6.045,4.442,0.301,-1.236,-0.109,-8.166,-13.966,-0.093,0.796,-0.479,0.61,0.671,0.0,80.0,4263.0,1.0
167,-11.84,4.529,2.729,-1.844,-2.812,1.1,-7.076,-15.887,-0.093,0.797,-0.482,0.549,0.549,-0.031,80.0,4264.0,1.0
168,-9.661,2.793,1.682,-4.355,-3.798,1.328,-6.885,-17.882,-0.093,0.799,-0.483,0.61,0.58,-0.244,80.0,4265.0,1.0
169,-7.232,1.324,1.633,-7.627,-3.852,0.546,-7.633,-19.224,-0.092,0.798,-0.481,0.458,0.58,-0.214,80.0,4266.0,1.0
170,-4.207,0.78,2.942,-9.881,-2.549,-0.549,-8.494,-19.079,-0.091,0.797,-0.482,0.458,0.61,-0.122,80.0,4267.0,1.0
