EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
-18552.659,-102293.890,-157127.506,-175516.098,-200843.003,-243063.715,-218840.165,-241720.703,-0.152,0.996,0.035,-0.397,3.784,-0.031,93.333,91.000,1.000
-17087.934,-100422.127,-159344.335,-176986.085,-198333.747,-241512.611,-216960.517,-242034.991,-0.154,0.993,0.032,-0.458,3.906,0.031,93.333,92.000,1.000
-15645.197,-98534.386,-161419.016,-178324.225,-195757.415,-239848.142,-214984.976,-242176.430,-0.155,0.991,0.033,-0.549,3.845,0.031,93.333,93.000,1.000
-14225.962,-96630.237,-163355.347,-179534.243,-193103.045,-238066.866,-212901.823,-242125.296,-0.154,0.990,0.035,-0.641,3.845,-0.031,93.333,94.000,1.000
-12837.338,-94722.271,-165159.131,-180621.864,-190395.151,-236186.521,-210736.243,-241916.762,-0.154,0.987,0.034,-0.671,3.845,-0.092,93.333,95.000,1.000
-11479.631,-92817.097,-166835.329,-181591.988,-187655.449,-234222.007,-208512.084,-241587.023,-0.154,0.987,0.034,-0.641,3.845,-0.092,93.333,96.000,1.000
-10146.277,-90906.724,-168386.377,-182447.014,-184869.111,-232165.630,-206215.723,-241117.176,-0.154,0.984,0.032,-0.549,3.906,-0.122,93.333,97.000,1.000
-8835.616,-88985.800,-169814.676,-183189.310,-182018.208,-230008.615,-203829.089,-240479.169,-0.154,0.986,0.037,-0.580,3.967,-0.183,93.333,98.000,1.000
-7552.729,-87062.789,-171124.719,-183823.326,-179120.071,-227764.246,-201370.175,-239697.823,-0.155,0.990,0.035,-0.458,3.967,-0.092,93.333,99.000,1.000
-6298.690,-85145.056,-172321.134,-184353.624,-176199.659,-225450.001,-198865.823,-238813.471,-0.156,0.992,0.037,-0.427,3.845,-0.153,93.333,100.000,1.000
-5068.227,-83226.935,-173406.577,-184782.786,-173248.766,-223062.807,-196308.561,-237816.077,-0.155,0.995,0.036,-0.519,3.784,-0.122,93.333,101.000,1.000
