EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
27.706,23.542,32.885,21.373,18.926,19.495,8.671,9.733,-0.113,0.762,-0.524,1.251,1.343,-0.549,80.000,13770.000,1.000
27.013,22.646,31.633,19.973,19.285,21.223,9.551,10.234,-0.111,0.761,-0.525,1.312,1.282,-0.519,80.000,13771.000,1.000
25.934,21.381,29.978,19.516,19.878,22.941,10.750,10.655,-0.110,0.762,-0.527,1.312,1.312,-0.549,80.000,13772.000,1.000
24.092,19.430,27.733,20.089,20.502,24.115,12.044,11.338,-0.111,0.761,-0.526,1.190,1.312,-0.488,80.000,13773.000,1.000
21.402,16.509,24.794,21.182,20.642,24.159,12.962,12.280,-0.113,0.761,-0.523,1.190,1.343,-0.458,80.000,13774.000,1.000
18.208,12.867,21.308,21.914,19.879,22.954,13.080,13.058,-0.112,0.759,-0.523,1.221,1.343,-0.488,80.000,13775.000,1.000
15.032,9.216,17.581,21.752,18.242,21.026,12.354,13.267,-0.114,0.758,-0.522,1.190,1.251,-0.336,80.000,13776.000,1.000
12.321,6.201,13.891,20.865,16.120,19.042,11.058,12.866,-0.113,0.759,-0.523,1.190,1.099,-0.336,80.000,13777.000,1.000
10.229,3.889,10.269,19.420,13.760,17.098,9.313,11.900,-0.112,0.759,-0.523,1.190,1.099,-0.397,80.000,13778.000,1.000
8.612,1.927,6.594,17.175,11.109,14.789,6.973,10.181,-0.113,0.757,-0.524,1.282,1.129,-0.458,80.000,13779.000,1.000
7.318,0.198,3.011,14.074,8.261,11.984,4.105,7.566,-0.113,0.757,-0.522,1.160,1.068,-0.305,80.000,13780.000,1.000
6.490,-0.895,0.107,10.833,5.815,9.207,1.285,4.423,-0.114,0.758,-0.522,1.160,1.007,-0.336,80.000,13781.000,1.000
6.484,-0.864,-1.449,8.645,4.563,7.209,-0.765,1.628,-0.114,0.759,-0.521,1.129,1.038,-0.336,80.000,13782.000,1.000
7.341,0.361,-1.463,8.182,4.818,6.422,-1.677,0.019,-0.114,0.759,-0.523,1.251,0.977,-0.336,80.000,13783.000,1.000
8.466,2.449,-0.362,9.070,6.177,6.937,-1.489,-0.112,-0.112,0.760,-0.521,1.190,0.824,-0.397,80.000,13784.000,1.000
8.789,4.796,0.977,10.101,7.788,8.621,-0.539,0.829,-0.112,0.761,-0.525,1.221,0.824,-0.427,80.000,13785.000,1.000
7.255,6.470,1.369,9.702,8.619,10.912,0.501,1.873,-0.112,0.761,-0.523,1.099,0.824,-0.427,80.000,13786.000,1.000
3.607,6.544,-0.150,6.971,7.877,12.874,0.893,2.010,-0.112,0.762,-0.524,1.099,0.671,-0.397,80.000,13787.000,1.000
-1.248,4.705,-3.498,2.694,5.574,13.859,0.438,0.928,-0.113,0.763,-0.525,1.038,0.702,-0.336,80.000,13788.000,1.000
-5.786,1.465,-7.402,-1.065,2.620,13.972,-0.380,-0.760,-0.115,0.765,-0.524,0.885,0.641,-0.336,80.000,13789.000,1.000
-8.670,-2.171,-10.218,-2.484,0.208,13.775,-0.895,-2.102,-0.116,0.763,-0.524,0.854,0.549,-0.366,80.000,13790.000,1.000
-9.236,-5.174,-10.931,-0.936,-0.901,13.735,-0.747,-2.488,-0.114,0.763,-0.523,0.824,0.549,-0.366,80.000,13791.000,1.000
-7.676,-6.835,-9.524,3.114,-0.638,14.023,0.089,-1.765,-0.112,0.762,-0.521,0.824,0.580,-0.336,80.000,13792.000,1.000
-4.932,-7.051,-6.875,8.168,0.477,14.529,1.412,-0.168,-0.112,0.761,-0.522,0.732,0.610,-0.336,80.000,13793.000,1.000
-2.168,-6.443,-4.426,11.749,1.552,14.838,2.750,1.582,-0.114,0.761,-0.524,0.641,0.580,-0.397,80.000,13794.000,1.000
-0.087,-5.969,-3.467,11.674,1.702,14.413,3.426,2.501,-0.112,0.762,-0.523,0.580,0.519,-0.397,80.000,13795.000,1.000
1.297,-6.165,-4.325,7.837,0.572,12.990,2.997,2.112,-0.113,0.760,-0.523,0.610,0.549,-0.366,80.000,13796.000,1.000
2.471,-6.724,-6.080,2.613,-1.391,10.809,1.659,0.962,-0.111,0.763,-0.525,0.580,0.641,-0.305,80.000,13797.000,1.000
4.077,-6.821,-7.185,-0.860,-3.260,8.404,0.038,0.125,-0.110,0.763,-0.525,0.549,0.610,-0.305,80.000,13798.000,1.000
6.544,-5.879,-6.540,-1.071,-4.308,6.251,-1.335,0.200,-0.112,0.763,-0.524,0.580,0.610,-0.366,80.000,13799.000,1.000
9.778,-4.022,-4.118,1.222,-4.349,4.695,-2.175,0.963,-0.110,0.760,-0.524,0.580,0.641,-0.366,80.000,13800.000,1.000
13.114,-1.813,-0.715,4.334,-3.588,3.991,-2.328,1.862,-0.114,0.761,-0.523,0.549,0.671,-0.458,80.000,13801.000,1.000
15.763,0.328,2.761,7.038,-2.387,4.148,-1.878,2.501,-0.113,0.761,-0.526,0.549,0.702,-0.366,80.000,13802.000,1.000
17.579,2.368,5.778,8.983,-1.214,4.770,-1.328,2.657,-0.113,0.761,-0.524,0.519,0.793,-0.305,80.000,13803.000,1.000
19.141,4.335,8.147,10.338,-0.621,5.255,-1.406,2.179,-0.110,0.759,-0.523,0.519,0.671,-0.397,80.000,13804.000,1.000
20.916,5.976,9.775,11.261,-0.984,5.221,-2.531,1.104,-0.112,0.758,-0.523,0.610,0.702,-0.336,80.000,13805.000,1.000
22.904,7.122,10.804,11.929,-2.058,4.825,-4.384,-0.164,-0.114,0.758,-0.524,0.641,0.732,-0.336,80.000,13806.000,1.000
25.153,8.181,11.829,12.787,-2.972,4.669,-6.080,-1.016,-0.112,0.758,-0.522,0.732,0.824,-0.214,80.000,13807.000,1.000
27.733,9.679,13.354,14.063,-2.991,5.260,-6.930,-1.250,-0.112,0.756,-0.526,0.824,0.793,-0.244,80.000,13808.000,1.000
30.190,11.524,15.107,15.181,-2.182,6.561,-6.970,-1.353,-0.112,0.756,-0.526,0.824,0.702,-0.305,80.000,13809.000,1.000
31.926,13.166,16.406,15.321,-1.098,8.059,-6.677,-1.881,-0.113,0.759,-0.523,0.946,0.702,-0.275,80.000,13810.000,1.000
33.163,14.303,17.145,14.658,0.023,9.179,-6.352,-2.697,-0.112,0.757,-0.521,1.007,0.793,-0.244,80.000,13811.000,1.000
34.839,15.128,17.982,14.503,1.433,9.636,-5.899,-3.037,-0.112,0.756,-0.522,1.038,0.885,-0.214,80.000,13812.000,1.000
37.216,15.840,19.349,15.620,3.213,9.408,-5.157,-2.346,-0.111,0.758,-0.523,1.160,0.916,-0.214,80.000,13813.000,1.000
39.204,16.247,20.739,17.064,4.849,8.537,-4.229,-0.808,-0.112,0.758,-0.523,1.221,0.824,-0.275,80.000,13814.000,1.000
39.495,16.017,21.307,17.354,5.787,7.187,-3.315,0.989,-0.112,0.758,-0.523,1.312,0.824,-0.305,80.000,13815.000,1.000
37.679,15.017,20.640,15.779,5.978,5.783,-2.446,2.515,-0.114,0.758,-0.524,1.404,0.885,-0.275,80.000,13816.000,1.000
34.150,13.341,18.824,12.448,5.778,4.959,-1.477,3.419,-0.113,0.758,-0.524,1.495,0.977,-0.275,80.000,13817.000,1.000
29.768,11.406,16.375,8.205,5.662,5.291,-0.231,3.599,-0.111,0.759,-0.523,1.556,1.007,-0.214,80.000,13818.000,1.000
25.686,9.945,14.097,4.491,6.017,6.942,1.333,3.216,-0.113,0.760,-0.525,1.526,0.946,-0.214,80.000,13819.000,1.000
22.901,9.589,12.623,2.562,6.924,9.525,2.985,2.526,-0.111,0.757,-0.524,1.526,0.946,-0.122,80.000,13820.000,1.000
21.580,10.409,11.949,2.609,8.057,12.344,4.311,1.752,-0.111,0.757,-0.524,1.617,1.038,-0.153,80.000,13821.000,1.000
20.960,11.932,11.482,3.740,8.814,14.621,4.897,1.090,-0.110,0.757,-0.527,1.709,1.007,-0.153,80.000,13822.000,1.000
20.182,13.549,10.604,4.822,8.626,15.584,4.427,0.566,-0.111,0.757,-0.525,1.648,1.160,-0.183,80.000,13823.000,1.000
19.005,14.660,9.113,5.131,7.210,14.633,2.782,-0.132,-0.111,0.758,-0.522,1.709,1.129,-0.092,80.000,13824.000,1.000
17.585,14.671,7.188,4.491,4.632,11.629,0.172,-1.359,-0.110,0.757,-0.521,1.862,1.129,-0.061,80.000,13825.000,1.000
16.007,13.380,5.184,3.257,1.275,7.100,-2.830,-3.023,-0.109,0.755,-0.526,1.862,1.251,-0.031,80.000,13826.000,1.000
14.283,11.190,3.405,1.959,-2.288,2.110,-5.511,-4.637,-0.112,0.755,-0.525,1.923,1.373,0.000,80.000,13827.000,1.000
12.560,8.768,1.963,0.798,-5.450,-2.106,-7.314,-5.738,-0.112,0.756,-0.527,2.014,1.404,-0.061,80.000,13828.000,1.000
11.107,6.789,0.930,-0.267,-7.599,-4.478,-7.948,-6.027,-0.112,0.754,-0.527,2.136,1.312,-0.031,80.000,13829.000,1.000
10.030,5.789,0.453,-1.235,-8.271,-4.437,-7.413,-5.370,-0.114,0.756,-0.527,2.167,1.343,-0.031,80.000,13830.000,1.000
9.058,5.801,0.468,-2.292,-7.555,-2.281,-6.135,-4.050,-0.114,0.755,-0.525,2.258,1.343,-0.031,80.000,13831.000,1.000
7.693,6.198,0.461,-3.856,-6.155,0.817,-4.870,-2.752,-0.115,0.753,-0.527,2.228,1.282,-0.122,80.000,13832.000,1.000
5.459,6.044,-0.296,-5.980,-4.892,3.470,-4.184,-1.927,-0.116,0.754,-0.525,2.319,1.221,-0.122,80.000,13833.000,1.000
2.006,4.567,-2.376,-8.251,-4.276,4.858,-4.053,-1.441,-0.114,0.754,-0.527,2.472,1.343,-0.153,80.000,13834.000,1.000
-2.606,1.529,-5.893,-10.289,-4.429,5.007,-4.070,-0.991,-0.115,0.756,-0.526,2.411,1.221,-0.092,80.000,13835.000,1.000
-7.300,-2.421,-10.005,-11.371,-4.955,4.598,-3.796,-0.347,-0.114,0.756,-0.526,2.441,1.221,-0.122,80.000,13836.000,1.000
-10.162,-5.794,-12.917,-10.055,-4.983,4.483,-2.953,0.759,-0.112,0.758,-0.524,2.380,1.129,-0.153,80.000,13837.000,1.000
-9.977,-7.175,-13.121,-5.904,-3.940,4.996,-1.712,2.275,-0.112,0.760,-0.527,2.411,1.221,-0.214,80.000,13838.000,1.000
-7.237,-6.107,-10.597,-1.050,-2.153,5.681,-0.764,3.503,-0.110,0.760,-0.525,2.380,1.221,-0.183,80.000,13839.000,1.000
-3.091,-2.948,-6.335,1.812,-0.275,5.915,-0.695,3.770,-0.111,0.761,-0.527,2.319,1.129,-0.122,80.000,13840.000,1.000
1.877,1.698,-1.194,2.342,1.564,5.614,-1.382,3.202,-0.111,0.762,-0.526,2.258,1.007,-0.061,80.000,13841.000,1.000
7.385,7.150,4.351,2.400,3.678,5.262,-2.217,2.481,-0.112,0.761,-0.526,2.228,1.038,0.000,80.000,13842.000,1.000
13.006,12.654,9.948,4.118,6.268,5.534,-2.615,2.219,-0.111,0.763,-0.530,2.045,1.007,-0.031,80.000,13843.000,1.000
18.503,17.479,15.306,8.496,9.191,6.877,-2.175,2.773,-0.112,0.761,-0.531,1.984,1.099,-0.061,80.000,13844.000,1.000
23.807,20.955,19.979,14.385,11.925,9.118,-0.811,4.068,-0.111,0.763,-0.530,1.770,1.190,0.000,80.000,13845.000,1.000
28.326,22.543,23.102,18.754,13.630,11.439,1.004,5.369,-0.112,0.763,-0.528,1.709,1.129,0.031,80.000,13846.000,1.000
30.839,22.054,23.761,19.079,13.573,12.941,2.419,5.701,-0.113,0.765,-0.525,1.587,1.007,0.031,80.000,13847.000,1.000
30.344,19.725,21.689,15.415,11.662,13.249,2.836,4.662,-0.113,0.765,-0.528,1.526,1.068,0.092,80.000,13848.000,1.000
26.909,16.077,17.515,10.038,8.580,12.677,2.382,2.722,-0.115,0.764,-0.528,1.404,1.007,-0.061,80.000,13849.000,1.000
21.541,11.713,12.294,5.396,5.303,11.858,1.720,0.769,-0.116,0.762,-0.529,1.221,1.038,0.061,80.000,13850.000,1.000
15.280,7.105,6.764,2.232,2.368,11.125,1.353,-0.626,-0.114,0.760,-0.526,1.038,1.007,-0.031,80.000,13851.000,1.000
8.960,2.680,1.388,-0.189,-0.170,10.366,1.310,-1.466,-0.114,0.762,-0.530,1.068,1.068,-0.092,80.000,13852.000,1.000
3.799,-0.858,-2.949,-2.287,-2.155,9.476,1.419,-1.985,-0.114,0.762,-0.529,0.916,0.885,0.000,80.000,13853.000,1.000
1.237,-2.654,-5.007,-3.567,-3.207,8.597,1.559,-2.334,-0.112,0.761,-0.529,0.793,0.916,-0.061,80.000,13854.000,1.000
1.791,-2.354,-4.151,-3.560,-3.207,7.899,1.611,-2.551,-0.114,0.760,-0.529,0.793,0.885,-0.061,80.000,13855.000,1.000
4.653,-0.352,-0.790,-2.298,-2.459,7.390,1.443,-2.618,-0.114,0.759,-0.528,0.702,0.885,-0.122,80.000,13856.000,1.000
8.614,2.641,4.156,0.158,-1.274,7.009,1.070,-2.453,-0.113,0.760,-0.529,0.641,0.763,-0.092,80.000,13857.000,1.000
12.737,5.912,9.700,3.636,0.210,6.724,0.627,-2.015,-0.112,0.759,-0.528,0.580,0.793,-0.153,80.000,13858.000,1.000
16.125,8.652,14.693,7.201,1.646,6.455,0.077,-1.613,-0.112,0.760,-0.527,0.488,0.793,-0.122,80.000,13859.000,1.000
17.997,10.095,18.018,9.452,2.353,6.095,-0.836,-1.922,-0.111,0.757,-0.528,0.488,0.732,-0.061,80.000,13860.000,1.000
18.366,10.028,19.168,9.395,1.826,5.645,-2.163,-3.515,-0.111,0.756,-0.529,0.519,0.793,-0.122,80.000,13861.000,1.000
18.060,8.870,18.400,6.980,0.160,5.185,-3.533,-6.272,-0.111,0.756,-0.530,0.397,0.824,-0.244,80.000,13862.000,1.000
17.744,7.221,16.332,3.331,-2.029,4.743,-4.383,-9.139,-0.111,0.758,-0.530,0.427,0.793,-0.214,80.000,13863.000,1.000
17.252,5.566,13.560,0.348,-3.859,4.409,-4.207,-10.512,-0.113,0.758,-0.524,0.427,0.732,-0.275,80.000,13864.000,1.000
15.965,4.255,10.490,-0.753,-4.544,4.362,-2.729,-9.264,-0.112,0.759,-0.527,0.427,0.763,-0.244,80.000,13865.000,1.000
13.496,3.323,7.289,-0.567,-3.861,4.554,-0.175,-5.616,-0.112,0.756,-0.527,0.458,0.702,-0.305,80.000,13866.000,1.000
9.897,2.391,4.073,-0.469,-2.219,4.540,2.714,-0.819,-0.113,0.757,-0.523,0.427,0.732,-0.336,80.000,13867.000,1.000
5.581,1.026,1.116,-0.826,-0.217,3.887,5.146,3.901,-0.112,0.758,-0.524,0.366,0.641,-0.397,80.000,13868.000,1.000
1.286,-0.801,-1.267,-1.188,1.687,2.626,6.648,7.775,-0.115,0.759,-0.529,0.366,0.671,-0.366,80.000,13869.000,1.000
-2.211,-2.789,-3.066,-1.764,3.091,1.163,7.010,10.237,-0.115,0.760,-0.526,0.275,0.702,-0.336,80.000,13870.000,1.000
