EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
-3.298,7.537,4.211,-0.922,3.085,8.883,1.518,-1.008,-0.115,0.730,-0.566,2.441,1.221,-0.366,80.000,4480.000,1.000
-4.857,6.281,1.330,-3.323,0.876,8.617,-0.998,-3.613,-0.115,0.731,-0.566,2.411,1.190,-0.336,80.000,4481.000,1.000
-6.043,5.954,-0.887,-4.775,-1.046,8.919,-2.986,-5.913,-0.116,0.732,-0.565,2.350,1.190,-0.305,80.000,4482.000,1.000
-6.678,6.295,-2.036,-4.630,-2.289,9.595,-3.907,-7.106,-0.116,0.734,-0.564,2.258,1.099,-0.275,80.000,4483.000,1.000
-6.965,6.830,-2.192,-3.034,-2.538,10.302,-3.481,-6.778,-0.118,0.732,-0.564,2.106,1.038,-0.244,80.000,4484.000,1.000
-7.312,7.259,-1.784,-0.795,-1.746,10.795,-1.831,-5.094,-0.119,0.731,-0.563,2.045,1.038,-0.244,80.000,4485.000,1.000
-7.826,7.685,-1.190,1.187,-0.146,11.031,0.451,-2.687,-0.116,0.732,-0.564,1.923,0.946,-0.183,80.000,4486.000,1.000
-8.085,8.480,-0.470,2.525,1.815,11.049,2.510,-0.299,-0.115,0.730,-0.564,1.862,0.885,-0.183,80.000,4487.000,1.000
-7.610,9.885,0.451,3.347,3.527,10.770,3.641,1.522,-0.115,0.730,-0.564,1.678,0.885,-0.244,80.000,4488.000,1.000
-6.450,11.696,1.403,3.769,4.315,9.940,3.528,2.483,-0.115,0.728,-0.567,1.709,0.885,-0.214,80.000,4489.000,1.000
-5.118,13.244,1.935,3.657,3.706,8.257,2.194,2.473,-0.115,0.728,-0.563,1.556,0.854,-0.183,80.000,4490.000,1.000
-4.008,13.827,1.713,2.980,1.770,5.615,-0.016,1.644,-0.113,0.728,-0.563,1.556,0.885,-0.061,80.000,4491.000,1.000
-3.163,13.264,0.854,2.041,-0.749,2.365,-2.362,0.507,-0.114,0.725,-0.563,1.465,0.977,-0.031,80.000,4492.000,1.000
-2.588,11.977,-0.227,1.127,-2.814,-0.716,-3.937,-0.289,-0.113,0.724,-0.562,1.343,0.916,-0.122,80.000,4493.000,1.000
-2.296,10.618,-1.100,0.232,-3.765,-2.805,-4.232,-0.459,-0.116,0.725,-0.562,1.404,0.854,-0.122,80.000,4494.000,1.000
-1.928,9.803,-1.363,-0.663,-3.635,-3.413,-3.417,-0.285,-0.115,0.726,-0.562,1.373,0.916,-0.122,80.000,4495.000,1.000
-0.832,9.981,-0.649,-1.302,-2.884,-2.585,-2.089,-0.285,-0.112,0.726,-0.561,1.312,0.946,0.061,80.000,4496.000,1.000
1.289,11.265,1.178,-1.348,-1.954,-0.837,-0.883,-0.810,-0.113,0.724,-0.562,1.312,0.977,0.031,80.000,4497.000,1.000
4.079,13.364,3.815,-0.718,-1.039,1.135,-0.285,-1.965,-0.112,0.724,-0.560,1.282,0.946,0.061,80.000,4498.000,1.000
6.865,15.723,6.542,0.286,-0.196,2.795,-0.535,-3.695,-0.113,0.725,-0.559,1.312,0.946,-0.061,80.000,4499.000,1.000
9.087,17.761,8.511,1.214,0.507,3.968,-1.518,-5.742,-0.115,0.726,-0.561,1.251,1.007,-0.031,80.000,4500.000,1.000
10.386,19.054,9.090,1.832,1.017,4.828,-2.803,-7.577,-0.113,0.724,-0.561,1.099,0.977,0.031,80.000,4501.000,1.000
10.503,19.373,8.147,2.178,1.365,5.594,-3.931,-8.613,-0.113,0.724,-0.563,1.160,0.916,0.031,80.000,4502.000,1.000
9.362,18.670,6.144,2.358,1.575,6.108,-4.718,-8.573,-0.111,0.725,-0.563,1.068,0.946,-0.061,80.000,4503.000,1.000
7.178,17.006,3.830,2.431,1.535,5.818,-5.263,-7.672,-0.112,0.726,-0.562,1.099,0.977,-0.122,80.000,4504.000,1.000
4.322,14.475,1.736,2.400,1.062,4.316,-5.683,-6.468,-0.113,0.727,-0.564,0.885,0.977,-0.244,80.000,4505.000,1.000
1.234,11.274,0.052,2.278,0.142,1.870,-5.891,-5.515,-0.114,0.728,-0.564,0.916,1.038,-0.183,80.000,4506.000,1.000
-1.486,7.870,-1.167,2.143,-0.956,-0.656,-5.658,-5.055,-0.113,0.729,-0.562,0.763,1.007,-0.244,80.000,4507.000,1.000
-3.320,4.825,-2.078,1.850,-1.941,-2.468,-4.932,-5.053,-0.115,0.728,-0.561,0.549,0.977,-0.275,80.000,4508.000,1.000
-4.329,2.347,-3.285,0.804,-2.923,-3.405,-4.091,-5.479,-0.113,0.729,-0.561,0.610,0.946,-0.336,80.000,4509.000,1.000
-5.216,0.131,-5.577,-1.623,-4.460,-3.890,-3.798,-6.457,-0.112,0.729,-0.562,0.366,0.885,-0.336,80.000,4510.000,1.000
-6.729,-2.320,-9.240,-5.394,-7.104,-4.502,-4.517,-8.089,-0.113,0.730,-0.560,0.366,0.916,-0.427,80.000,4511.000,1.000
-9.076,-5.303,-13.734,-9.671,-10.884,-5.659,-6.198,-10.176,-0.113,0.729,-0.562,0.305,0.916,-0.397,80.000,4512.000,1.000
-11.939,-8.772,-18.095,-13.411,-15.251,-7.507,-8.416,-12.242,-0.113,0.727,-0.568,0.275,1.038,-0.397,80.000,4513.000,1.000
-14.893,-12.400,-21.610,-16.065,-19.420,-9.848,-10.701,-13.875,-0.113,0.726,-0.563,0.244,1.068,-0.397,80.000,4514.000,1.000
-17.457,-15.608,-23.958,-17.612,-22.622,-12.098,-12.663,-14.952,-0.113,0.726,-0.563,0.183,1.068,-0.427,80.000,4515.000,1.000
-18.897,-17.627,-24.869,-18.062,-24.179,-13.490,-13.922,-15.510,-0.112,0.726,-0.561,0.244,1.221,-0.397,80.000,4516.000,1.000
-18.554,-17.840,-24.064,-17.301,-23.769,-13.588,-14.222,-15.582,-0.111,0.728,-0.562,0.214,1.160,-0.549,80.000,4517.000,1.000
-16.385,-16.148,-21.570,-15.352,-21.753,-12.607,-13.700,-15.262,-0.114,0.727,-0.560,0.275,1.221,-0.488,80.000,4518.000,1.000
-12.851,-12.917,-17.732,-12.417,-18.968,-11.072,-12.774,-14.690,-0.115,0.725,-0.561,0.244,1.221,-0.549,80.000,4519.000,1.000
-8.459,-8.703,-13.026,-8.786,-16.122,-9.262,-11.708,-13.875,-0.115,0.726,-0.565,0.336,1.312,-0.580,80.000,4520.000,1.000
-3.829,-4.293,-8.228,-5.067,-13.596,-7.286,-10.548,-12.738,-0.114,0.724,-0.564,0.305,1.282,-0.488,80.000,4521.000,1.000
0.052,-0.753,-4.545,-2.246,-11.705,-5.515,-9.468,-11.368,-0.114,0.724,-0.560,0.366,1.251,-0.458,80.000,4522.000,1.000
2.254,1.004,-3.009,-1.045,-10.732,-4.507,-8.800,-10.015,-0.115,0.724,-0.561,0.458,1.190,-0.366,80.000,4523.000,1.000
2.655,0.783,-3.708,-1.246,-10.674,-4.551,-8.709,-8.865,-0.115,0.724,-0.562,0.458,1.282,-0.366,80.000,4524.000,1.000
1.833,-0.910,-5.866,-2.012,-11.263,-5.502,-9.099,-8.031,-0.115,0.724,-0.560,0.458,1.160,-0.244,80.000,4525.000,1.000
0.160,-3.361,-8.595,-2.900,-12.304,-6.979,-9.868,-7.792,-0.116,0.724,-0.563,0.519,1.129,-0.305,80.000,4526.000,1.000
-2.534,-6.031,-11.353,-4.149,-13.859,-8.687,-11.079,-8.557,-0.115,0.724,-0.562,0.580,1.129,-0.275,80.000,4527.000,1.000
-6.344,-8.639,-13.851,-5.938,-16.007,-10.617,-12.787,-10.331,-0.115,0.726,-0.560,0.610,1.099,-0.214,80.000,4528.000,1.000
-10.749,-11.103,-15.854,-7.770,-18.449,-12.875,-14.717,-12.238,-0.114,0.727,-0.562,0.702,1.068,-0.275,80.000,4529.000,1.000
-14.800,-13.429,-17.099,-8.706,-20.451,-15.335,-16.241,-12.888,-0.114,0.726,-0.559,0.732,1.038,-0.214,80.000,4530.000,1.000
-17.531,-15.576,-17.362,-8.060,-21.324,-17.624,-16.811,-11.474,-0.115,0.725,-0.560,0.824,1.129,-0.153,80.000,4531.000,1.000
-18.242,-17.395,-16.662,-5.955,-20.981,-19.387,-16.443,-8.533,-0.115,0.726,-0.566,0.916,1.068,-0.214,80.000,4532.000,1.000
-16.805,-18.688,-15.390,-3.361,-19.961,-20.421,-15.671,-5.597,-0.113,0.725,-0.562,0.946,1.099,-0.244,80.000,4533.000,1.000
-13.941,-19.345,-14.162,-1.515,-18.961,-20.653,-15.028,-4.052,-0.114,0.724,-0.562,1.007,1.068,-0.183,80.000,4534.000,1.000
-10.943,-19.392,-13.437,-1.130,-18.415,-20.190,-14.656,-4.226,-0.115,0.724,-0.560,1.007,1.038,-0.183,80.000,4535.000,1.000
-8.814,-18.882,-13.155,-1.983,-18.331,-19.279,-14.349,-5.337,-0.115,0.724,-0.560,1.160,1.099,-0.092,80.000,4536.000,1.000
-7.655,-17.781,-12.763,-3.084,-18.307,-18.101,-13.834,-6.157,-0.115,0.726,-0.560,1.160,1.038,-0.061,80.000,4537.000,1.000
-6.893,-15.986,-11.632,-3.262,-17.705,-16.591,-12.989,-5.797,-0.114,0.724,-0.558,1.129,1.099,0.031,80.000,4538.000,1.000
-5.955,-13.510,-9.512,-1.865,-16.005,-14.538,-11.848,-4.084,-0.113,0.722,-0.557,1.251,0.946,0.031,80.000,4539.000,1.000
-4.733,-10.683,-6.753,0.824,-13.235,-11.985,-10.513,-1.492,-0.111,0.721,-0.558,1.312,1.099,0.031,80.000,4540.000,1.000
-3.506,-8.022,-4.044,3.820,-9.975,-9.425,-9.089,1.249,-0.111,0.721,-0.558,1.404,1.099,0.031,80.000,4541.000,1.000
-2.653,-5.820,-1.879,6.132,-6.868,-7.424,-7.647,3.600,-0.115,0.721,-0.559,1.404,1.068,0.092,80.000,4542.000,1.000
